Year,Week Number,Average
1907,27,58.9175
1907,28,58.815999999999995
1907,29,58.67
1907,30,58.775999999999996
1907,31,57.367999999999995
1907,32,54.879999999999995
1907,33,51.1
1907,34,50.465999999999994
1907,35,51.44000000000001
1907,36,53.1825
1907,37,51.512
1907,38,50.156
1907,39,50.048
1907,40,49.104
1907,41,47.676
1907,42,44.083999999999996
1907,43,42.67399999999999
1907,44,41.868
1907,45,41.5175
1907,46,39.903999999999996
1907,47,38.824
1907,48,40.1475
1907,49,43.839999999999996
1907,50,42.284000000000006
1907,51,41.809999999999995
1907,52,42.092499999999994
1908,1,43.535
1908,2,45.108
1908,3,47.072
1908,4,45.086
1908,5,45.150000000000006
1908,6,44.452
1908,7,42.78
1908,8,42.971999999999994
1908,9,43.617999999999995
1908,10,44.35600000000001
1908,11,46.398
1908,12,47.547999999999995
1908,13,50.193999999999996
1908,14,49.106
1908,15,49.20799999999999
1908,16,49.457499999999996
1908,17,49.791999999999994
1908,18,50.666
1908,19,51.230000000000004
1908,20,53.044
1908,21,53.693999999999996
1908,22,52.58
1908,23,53.322
1908,24,53.004
1908,25,52.977999999999994
1908,26,52.141999999999996
1908,27,52.762
1908,28,54.63199999999999
1908,29,55.556
1908,30,57.158
1908,31,57.63399999999999
1908,32,59.898
1908,33,60.884
1908,34,59.8
1908,35,60.044
1908,36,60.70399999999999
1908,37,60.155
1908,38,58.370000000000005
1908,39,56.983999999999995
1908,40,57.762
1908,41,58.538
1908,42,59.056
1908,43,59.614
1908,44,60.048
1908,45,61.7175
1908,46,63.458000000000006
1908,47,63.102
1908,48,63.1075
1908,49,63.220000000000006
1908,50,62.976
1908,51,61.452
1908,52,61.415000000000006
1908,53,62.510000000000005
1909,1,62.053999999999995
1909,2,61.44
1909,3,61.71999999999999
1909,4,61.85600000000001
1909,5,61.372
1909,6,62.1375
1909,7,62.019999999999996
1909,8,58.527499999999996
1909,9,59.748000000000005
1909,10,59.324
1909,11,59.79599999999999
1909,12,60.31
1909,13,61.91799999999999
1909,14,63.082499999999996
1909,15,63.274
1909,16,63.602
1909,17,63.666
1909,18,65.014
